Market,Property,Historical Weekly Avg Entrants,Year of Date,Date,Total Entrants
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/24/2021,391
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/23/2021,297
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/20/2021,238
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/19/2021,340
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/18/2021,359
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/17/2021,371
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/16/2021,315
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/13/2021,232
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/12/2021,362
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/11/2021,391
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/10/2021,390
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/9/2021,327
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/6/2021,235
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/5/2021,327
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/4/2021,395
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/3/2021,405
US - Rock Center,1 Rockefeller Plaza,1495,2021,8/2/2021,345
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/30/2021,196
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/29/2021,401
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/28/2021,400
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/27/2021,392
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/26/2021,327
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/23/2021,264
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/22/2021,384
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/21/2021,407
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/20/2021,420
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/19/2021,358
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/16/2021,248
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/15/2021,387
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/14/2021,210
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/13/2021,0
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/12/2021,0
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/9/2021,244
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/8/2021,396
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/7/2021,428
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/6/2021,382
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/5/2021,0
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/2/2021,226
US - Rock Center,1 Rockefeller Plaza,1495,2021,7/1/2021,365
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/30/2021,404
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/29/2021,429
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/28/2021,266
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/25/2021,277
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/24/2021,424
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/23/2021,414
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/22/2021,414
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/21/2021,341
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/18/2021,229
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/17/2021,447
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/16/2021,443
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/15/2021,431
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/14/2021,345
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/11/2021,268
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/10/2021,362
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/9/2021,350
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/8/2021,442
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/7/2021,360
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/4/2021,280
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/3/2021,382
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/2/2021,416
US - Rock Center,1 Rockefeller Plaza,1495,2021,6/1/2021,420
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/31/2021,0
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/28/2021,235
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/27/2021,405
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/26/2021,453
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/25/2021,415
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/24/2021,330
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/21/2021,272
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/20/2021,378
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/19/2021,382
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/18/2021,365
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/17/2021,317
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/14/2021,277
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/13/2021,354
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/12/2021,370
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/11/2021,393
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/10/2021,321
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/7/2021,270
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/6/2021,377
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/5/2021,361
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/4/2021,395
US - Rock Center,1 Rockefeller Plaza,1495,2021,5/3/2021,335
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/30/2021,282
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/29/2021,359
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/28/2021,405
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/27/2021,420
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/26/2021,330
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/23/2021,264
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/22/2021,290
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/21/2021,290
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/20/2021,304
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/19/2021,258
US - Rock Center,1 Rockefeller Plaza,1495,2021,4/16/2021,176
